,ACC,Localization,Cell wall & surface,Extracellular,Cytoplasmic,Cytoplasmic Membrane,Outer Membrane,Periplasmic
26,A0A395ZFL0,Extracellular,0.0002,0.9990,0.0000,0.0000,0.0005,0.0003
27,A0A089IIS3,Extracellular,0.0002,0.9997,0.0000,0.0000,0.0000,0.0001
28,A0A1Y3RV79,Cytoplasmic,0.0164,0.1636,0.6746,0.0156,0.1099,0.0198
29,A0A090YBH5,Extracellular,0.0001,0.9999,0.0000,0.0000,0.0000,0.0000
30,D4LB72,Extracellular,0.0002,0.9844,0.0000,0.0001,0.0014,0.0139
31,A0A3D1HAC5,Extracellular,0.0053,0.4801,0.2569,0.0017,0.2268,0.0292
32,A0A374W8P0,Extracellular,0.0267,0.6823,0.0069,0.0019,0.2657,0.0164
33,R6FB35,Extracellular,0.0039,0.6646,0.0579,0.0036,0.0320,0.2380
34,A0A3F3K5D9,Extracellular,0.0027,0.5266,0.4012,0.0105,0.0447,0.0143
35,N9Y5N0,Extracellular,0.0004,0.9978,0.0001,0.0003,0.0005,0.0010
36,R5VJ04,Extracellular,0.0039,0.9824,0.0000,0.0009,0.0011,0.0117
37,A0A367G426,Outer Membrane,0.1330,0.0871,0.0438,0.0046,0.7269,0.0047
38,R7L1H3,Extracellular,0.0018,0.8040,0.1163,0.0016,0.0587,0.0176
39,A0A3C0QSR9,Extracellular,0.0003,0.9925,0.0000,0.0004,0.0029,0.0039
40,I9GXF1,Extracellular,0.0048,0.6209,0.0013,0.0007,0.0475,0.3248
41,W6EZD7,Extracellular,0.0056,0.9923,0.0000,0.0000,0.0007,0.0013
42,A0A357TKA3,Cytoplasmic,0.0018,0.1819,0.7276,0.0213,0.0308,0.0366
43,W4B2V2,Extracellular,0.0000,0.9999,0.0000,0.0000,0.0001,0.0000
44,C7H8G0,Cytoplasmic,0.0051,0.4132,0.5055,0.0162,0.0548,0.0052
45,A0A0P0FVG6,Extracellular,0.0035,0.7656,0.0508,0.0366,0.0136,0.1299
46,E6UGI9,Extracellular,0.0002,0.9951,0.0000,0.0000,0.0013,0.0034
47,A0A3E4NFS8,Periplasmic,0.0008,0.3692,0.0121,0.0014,0.0347,0.5818
48,A0A1Q6HGV3,Periplasmic,0.0006,0.0387,0.0130,0.0012,0.0390,0.9075
49,A0A1Y4F633,Cytoplasmic,0.1905,0.1742,0.4812,0.0119,0.1370,0.0051
50,A0A1H4B0W0,Cytoplasmic Membrane,0.0036,0.0638,0.0083,0.8019,0.1213,0.0011
51,A0A380KLH1,Extracellular,0.0028,0.9970,0.0000,0.0000,0.0000,0.0001
52,A0A3D3RPU6,Extracellular,0.0041,0.9956,0.0000,0.0000,0.0001,0.0001
53,A0A3D1KFC1,Periplasmic,0.0009,0.0272,0.0171,0.0035,0.0379,0.9135
54,A0A2S4GM30,Extracellular,0.0002,0.9991,0.0000,0.0000,0.0003,0.0004
55,Q8A5P7,Periplasmic,0.0011,0.0198,0.0416,0.0039,0.0271,0.9066
56,A0A174P993,Cytoplasmic,0.0138,0.2646,0.4848,0.0207,0.1414,0.0747
57,C9LBY1,Extracellular,0.0002,0.9995,0.0000,0.0000,0.0002,0.0001
58,A0A2Y9BK95,Extracellular,0.0002,0.9993,0.0000,0.0000,0.0002,0.0003
59,A0A1I7H2M4,Extracellular,0.0001,0.9998,0.0000,0.0000,0.0001,0.0000
60,F5WVX7,Extracellular,0.0002,0.9990,0.0000,0.0001,0.0006,0.0001
61,R7IVZ4,Extracellular,0.0000,0.9999,0.0000,0.0000,0.0000,0.0001
62,R7GTY6,Extracellular,0.0002,0.9949,0.0000,0.0000,0.0008,0.0041
63,A0A3E5HGJ9,Periplasmic,0.0021,0.0431,0.0555,0.0037,0.0312,0.8645
64,A0A1T4XRC3,Cytoplasmic,0.0428,0.2482,0.3582,0.0086,0.3296,0.0126
65,W4AWF2,Extracellular,0.0003,0.9996,0.0000,0.0000,0.0000,0.0001
66,A0A0M6WB05,Extracellular,0.0000,0.9989,0.0000,0.0000,0.0007,0.0003
67,R7MS52,Extracellular,0.0002,0.9976,0.0000,0.0000,0.0017,0.0005
68,A0A1Y4EEU6,Extracellular,0.0214,0.8078,0.0166,0.1371,0.0098,0.0073
69,A0A1Q6M0W8,Extracellular,0.0081,0.9732,0.0001,0.0001,0.0181,0.0004
70,A0A2V1IN09,Extracellular,0.0009,0.6157,0.0238,0.0019,0.0139,0.3438
71,A0A3B8SIA9,Extracellular,0.0001,0.9998,0.0000,0.0000,0.0001,0.0000
72,A0A3B8SI99,Extracellular,0.0001,0.9996,0.0000,0.0000,0.0003,0.0000
73,A0A3D4L1R9,Cytoplasmic,0.0008,0.4345,0.5140,0.0016,0.0197,0.0294
74,A0A1Q6G600,Extracellular,0.0124,0.5658,0.0273,0.0019,0.0955,0.2971
75,R6QAZ5,Cytoplasmic,0.0064,0.0524,0.7090,0.0210,0.1371,0.0742
76,R5LLE7,Extracellular,0.0027,0.7059,0.2362,0.0009,0.0253,0.0290
77,A0A395UGR8,Periplasmic,0.0085,0.4046,0.0789,0.0021,0.0589,0.4470
78,A0A0W1ATK9,Extracellular,0.0006,0.9992,0.0000,0.0000,0.0001,0.0002
79,A0A2S7FE64,Extracellular,0.0005,0.9988,0.0000,0.0000,0.0006,0.0001
80,R5PUE6,Periplasmic,0.0003,0.0202,0.0045,0.0080,0.0450,0.9221
81,R5KR35,Extracellular,0.0007,0.9973,0.0000,0.0001,0.0019,0.0000
82,U2KXV3,Extracellular,0.0026,0.9695,0.0001,0.0021,0.0085,0.0172
83,R6TEN4,Periplasmic,0.0003,0.0269,0.0134,0.0006,0.0409,0.9179
84,R6CPV1,Cytoplasmic,0.0264,0.1945,0.6813,0.0319,0.0580,0.0079
85,A0A1T4XC96,Extracellular,0.0001,0.9955,0.0000,0.0000,0.0017,0.0026
86,A0A1C5UTG9,Extracellular,0.0005,0.9966,0.0001,0.0002,0.0009,0.0016
87,D2KFJ4,Extracellular,0.0014,0.9969,0.0000,0.0001,0.0008,0.0007
88,A0A1Q6LD13,Extracellular,0.0032,0.9763,0.0000,0.0000,0.0204,0.0001
89,A0A1C6BG46,Extracellular,0.0364,0.7763,0.1701,0.0104,0.0067,0.0001
90,F2JJB5,Extracellular,0.0025,0.9970,0.0000,0.0001,0.0002,0.0003
91,F2JL21,Extracellular,0.0016,0.9947,0.0000,0.0004,0.0030,0.0004
92,R5TV71,Periplasmic,0.0009,0.1080,0.1265,0.0027,0.0206,0.7412
93,K9EGK6,Extracellular,0.0108,0.7528,0.0089,0.0008,0.0210,0.2056
94,S2Y7Q4,Extracellular,0.0034,0.9626,0.0244,0.0027,0.0016,0.0052
95,R6E2A0,Periplasmic,0.0007,0.1220,0.0054,0.0005,0.0249,0.8464
96,R5MNR4,Periplasmic,0.0005,0.0370,0.0247,0.0012,0.0452,0.8914
97,T4VMJ7,Extracellular,0.0307,0.8857,0.0700,0.0074,0.0061,0.0001
98,A0A1T4XZ39,Extracellular,0.0028,0.9908,0.0016,0.0004,0.0044,0.0000
99,A0A252F3S2,Extracellular,0.0011,0.9971,0.0000,0.0006,0.0004,0.0008
100,R6XJX5,Extracellular,0.0025,0.9954,0.0001,0.0009,0.0010,0.0001
101,A0A1C6A9I1,Extracellular,0.0004,0.9971,0.0000,0.0000,0.0023,0.0002
102,A0A329U9C5,Cytoplasmic,0.0173,0.1958,0.5860,0.0304,0.1195,0.0511
103,D1PK51,Outer Membrane,0.1227,0.2305,0.0839,0.0079,0.5438,0.0112
104,A0A0M1UWC7,Extracellular,0.0128,0.9211,0.0550,0.0043,0.0067,0.0001
105,R5KRL3,Extracellular,0.0001,0.9995,0.0000,0.0000,0.0002,0.0003
106,A0A255T5R8,Periplasmic,0.0004,0.3462,0.0072,0.0026,0.0133,0.6303
107,A0A108TGU8,Periplasmic,0.0007,0.0896,0.0171,0.0038,0.0334,0.8553
108,W4UPY8,Periplasmic,0.0015,0.0611,0.0088,0.0011,0.0165,0.9111
109,A0A1T4WHA8,Cytoplasmic,0.0018,0.3786,0.5507,0.0283,0.0166,0.0240
110,A0A1X0XDE3,Extracellular,0.0001,0.9589,0.0328,0.0003,0.0075,0.0003
111,R7FIX5,Extracellular,0.0002,0.9997,0.0000,0.0000,0.0000,0.0000
112,A0A1Q6KPB6,Extracellular,0.0007,0.9963,0.0003,0.0001,0.0024,0.0002
113,R7FEF4,Extracellular,0.0002,0.9908,0.0000,0.0001,0.0009,0.0080
114,A0A2S4GME6,Extracellular,0.0613,0.9154,0.0028,0.0020,0.0042,0.0143
115,A0A1I7H2U3,Extracellular,0.0004,0.9962,0.0000,0.0000,0.0033,0.0001
116,A0A212KG52,Periplasmic,0.0030,0.2065,0.0244,0.0070,0.0567,0.7024
117,A0A090Y6U6,Extracellular,0.0000,0.9998,0.0000,0.0000,0.0000,0.0001
118,A0A3C1CVJ3,Extracellular,0.0000,0.9999,0.0000,0.0000,0.0000,0.0000
119,D1PPI2,Cytoplasmic,0.0024,0.3366,0.5550,0.0135,0.0351,0.0574
120,T0EB21,Extracellular,0.0454,0.7567,0.1630,0.0225,0.0121,0.0003
121,R6DM52,Extracellular,0.0002,0.9998,0.0000,0.0000,0.0000,0.0001
122,A0A1S8TW42,Extracellular,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000
123,D3HUZ8,Periplasmic,0.0013,0.3618,0.0309,0.0155,0.0308,0.5597
124,A0A1H8BB91,Extracellular,0.0019,0.7433,0.0109,0.0053,0.0151,0.2235
125,G2ND91,Extracellular,0.0001,0.9333,0.0053,0.0544,0.0002,0.0067
126,A0A3E4KUL6,Extracellular,0.0277,0.8081,0.0014,0.0014,0.1168,0.0445
127,A0A355UW45,Extracellular,0.0016,0.9161,0.0002,0.0012,0.0510,0.0299
128,A0A1M4WHH0,Periplasmic,0.0033,0.0717,0.1373,0.0027,0.0471,0.7379
129,A0A1R0ZDK8,Extracellular,0.0009,0.9990,0.0000,0.0000,0.0001,0.0000
130,A0A374UXN6,Periplasmic,0.0043,0.3085,0.0634,0.0105,0.0834,0.5298
131,A0A1R0ZJJ3,Cytoplasmic,0.0383,0.2909,0.6362,0.0068,0.0037,0.0242
132,A0A3B9IY46,Extracellular,0.0003,0.9956,0.0000,0.0005,0.0021,0.0014
133,A0A374TWA8,Extracellular,0.0379,0.8165,0.0036,0.0024,0.1075,0.0321
134,A0A1C6BP48,Extracellular,0.0008,0.9987,0.0001,0.0000,0.0000,0.0004
135,R7B667,Extracellular,0.0002,0.9966,0.0000,0.0000,0.0025,0.0007
136,A0A0G9M9K9,Extracellular,0.0028,0.9965,0.0000,0.0000,0.0003,0.0004
137,F3PIT6,Extracellular,0.0081,0.7447,0.0313,0.0029,0.0464,0.1666
138,A0A374TU17,Extracellular,0.0004,0.9938,0.0001,0.0000,0.0035,0.0021
139,V8CI90,Periplasmic,0.0029,0.2426,0.0132,0.2348,0.2442,0.2623
140,A0A2A6ZEC9,Cytoplasmic,0.0080,0.2634,0.6189,0.0297,0.0472,0.0329
141,A0A3E5BDZ1,Extracellular,0.0251,0.8859,0.0009,0.0009,0.0676,0.0197
142,A0A1Q6GZ25,Extracellular,0.0244,0.8172,0.0064,0.0045,0.1431,0.0044
143,R5SMB2,Periplasmic,0.0004,0.0149,0.0241,0.0010,0.0334,0.9263
144,A0A2A6ZLH0,Cytoplasmic,0.0074,0.1616,0.7494,0.0252,0.0309,0.0255
145,A0A2S6HQ56,Extracellular,0.0001,0.9990,0.0000,0.0000,0.0006,0.0004
146,U2M4T5,Extracellular,0.0003,0.9675,0.0000,0.0010,0.0024,0.0288
147,R5RK40,Periplasmic,0.0011,0.0255,0.0971,0.0038,0.0313,0.8412
148,A0A374PEH3,Extracellular,0.0007,0.9979,0.0000,0.0000,0.0003,0.0011
149,A0A354HX53,Extracellular,0.0009,0.7112,0.0214,0.0037,0.0173,0.2454
150,A0A316Q9G8,Extracellular,0.0002,0.9995,0.0000,0.0000,0.0003,0.0000
151,D5EXH8,Periplasmic,0.0035,0.3774,0.0197,0.0096,0.0617,0.5280
152,W4USA6,Periplasmic,0.0024,0.0679,0.0462,0.0048,0.0766,0.8020
153,A0A395V600,Extracellular,0.0009,0.9970,0.0000,0.0000,0.0012,0.0010
154,K1T600,Extracellular,0.0489,0.9063,0.0014,0.0002,0.0407,0.0026
155,A0A316SP33,Extracellular,0.0090,0.6925,0.0149,0.0011,0.1171,0.1653
156,A0A1Y4A7S2,Periplasmic,0.0011,0.1900,0.0215,0.0029,0.0344,0.7501
157,A0A317RUT9,Extracellular,0.1178,0.4245,0.3893,0.0316,0.0172,0.0195
158,A0A239RC64,Extracellular,0.0005,0.9993,0.0000,0.0000,0.0000,0.0001
159,R5PCZ6,Extracellular,0.0066,0.9625,0.0005,0.0021,0.0244,0.0039
160,A0A173VI15,Extracellular,0.0001,0.9796,0.0001,0.0001,0.0051,0.0150
161,A0A227LGD4,Extracellular,0.0004,0.9994,0.0000,0.0000,0.0001,0.0000
162,A0A380JF82,Extracellular,0.0140,0.9853,0.0000,0.0000,0.0005,0.0002
163,D9SUY3,Extracellular,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000
164,A0A351ZDM7,Extracellular,0.0002,0.9982,0.0000,0.0000,0.0006,0.0011
165,A0A1C6CDG4,Extracellular,0.0619,0.9106,0.0042,0.0025,0.0034,0.0173
166,A0A316T305,Outer Membrane,0.0013,0.1716,0.0051,0.0062,0.4144,0.4013
167,Q47088,Outer Membrane,0.0017,0.0998,0.0077,0.2923,0.5824,0.0161
168,A0A374VGW9,Extracellular,0.0018,0.9942,0.0000,0.0000,0.0025,0.0015
169,A0A373PLK0,Extracellular,0.0000,0.9999,0.0000,0.0000,0.0000,0.0000
170,A0A374VMX7,Extracellular,0.0003,0.9987,0.0000,0.0000,0.0008,0.0001
171,R5PT87,Periplasmic,0.0006,0.4190,0.0066,0.0039,0.0273,0.5426
172,F2JKE0,Extracellular,0.0003,0.9996,0.0000,0.0000,0.0001,0.0000
173,A0KWZ4,Extracellular,0.0007,0.7689,0.0009,0.0002,0.0052,0.2240
174,R5JWY3,Periplasmic,0.0125,0.3763,0.0317,0.0119,0.0932,0.4744
175,A0A1I5LT95,Periplasmic,0.0007,0.4703,0.0116,0.0041,0.0145,0.4988
176,A0A374U3A5,Extracellular,0.0020,0.9916,0.0000,0.0000,0.0043,0.0021
177,T1DX23,Outer Membrane,0.0022,0.3380,0.0045,0.2479,0.3911,0.0162
178,F3ALE0,Extracellular,0.0012,0.9837,0.0003,0.0001,0.0010,0.0136
179,A9KIS2,Extracellular,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000
180,A0A352IAB9,Extracellular,0.0006,0.9724,0.0000,0.0008,0.0221,0.0041
181,F3QXP6,Extracellular,0.0003,0.8695,0.0016,0.0000,0.0010,0.1276
182,R7FDE4,Cytoplasmic,0.0008,0.2621,0.6000,0.0071,0.0032,0.1268
183,A0A1Y4H6V7,Outer Membrane,0.0596,0.2167,0.2156,0.0060,0.4905,0.0115
184,R6WJI7,Extracellular,0.0041,0.9845,0.0000,0.0017,0.0056,0.0041
185,F5WYJ2,Extracellular,0.0005,0.9994,0.0000,0.0000,0.0000,0.0001
186,A0A1C6G7N3,Extracellular,0.0016,0.7239,0.2099,0.0211,0.0148,0.0286
187,A0A0P0FMN2,Extracellular,0.0142,0.5501,0.0035,0.0012,0.0681,0.3628
188,A0A2L2WR09,Extracellular,0.0006,0.9560,0.0040,0.0001,0.0117,0.0276
189,A0A0B5BRL3,Extracellular,0.0058,0.9918,0.0000,0.0001,0.0011,0.0012
190,R8APU7,Extracellular,0.0014,0.8903,0.0226,0.0003,0.0759,0.0094
191,K1UK50,Extracellular,0.0033,0.5235,0.0610,0.0766,0.2593,0.0763
192,A0A316QV76,Extracellular,0.0001,0.9999,0.0000,0.0000,0.0000,0.0000
193,A0A0E8L847,Extracellular,0.0001,0.9969,0.0000,0.0001,0.0026,0.0002
194,R6TLJ3,Extracellular,0.0001,0.9969,0.0000,0.0001,0.0028,0.0001
195,A0A355XW19,Extracellular,0.0011,0.8511,0.0013,0.0006,0.0575,0.0883
196,A0A316RJ76,Extracellular,0.0001,0.9996,0.0000,0.0001,0.0002,0.0000
197,R6KH64,Cytoplasmic Membrane,0.0011,0.2728,0.0041,0.6556,0.0664,0.0000
198,A0A0U3E333,Cytoplasmic,0.0186,0.4135,0.5327,0.0039,0.0041,0.0272
199,A0A2V2DY26,Extracellular,0.0047,0.9871,0.0001,0.0017,0.0035,0.0031
200,A0A2N3WQN2,Extracellular,0.0001,0.9911,0.0000,0.0002,0.0002,0.0084
201,A0A1X2ZNK4,Extracellular,0.0056,0.9933,0.0000,0.0001,0.0005,0.0005
202,A0A3C1H421,Extracellular,0.0007,0.9954,0.0000,0.0000,0.0014,0.0026
203,A0A089I4M4,Extracellular,0.0000,0.9999,0.0000,0.0000,0.0000,0.0000
204,R6N302,Periplasmic,0.0007,0.0444,0.0283,0.0013,0.0563,0.8691
205,R6NXP4,Extracellular,0.0000,0.9999,0.0000,0.0000,0.0000,0.0000
206,A0A3D2NAW8,Extracellular,0.0001,0.9962,0.0000,0.0002,0.0024,0.0011
207,A0A349GQ04,Extracellular,0.0002,0.9990,0.0000,0.0000,0.0006,0.0002
208,A0A374VP30,Cytoplasmic,0.0006,0.1932,0.7156,0.0066,0.0031,0.0808
209,R7LJ79,Extracellular,0.0019,0.6520,0.0013,0.0013,0.0828,0.2608
210,R7J3L1,Extracellular,0.0031,0.9798,0.0000,0.0000,0.0155,0.0016
211,A0A1I3MR45,Extracellular,0.0081,0.6850,0.2869,0.0184,0.0016,0.0000
212,A0A351EGY3,Cytoplasmic,0.0089,0.1132,0.5768,0.0530,0.1792,0.0688
213,A8S7B0,Cytoplasmic,0.0286,0.2816,0.4610,0.0193,0.1601,0.0493
214,D4LBV5,Extracellular,0.0000,0.9983,0.0000,0.0001,0.0002,0.0014
215,A0A1C5QPF4,Extracellular,0.0028,0.9963,0.0000,0.0000,0.0006,0.0003
216,R5Q8I5,Extracellular,0.0025,0.9948,0.0000,0.0000,0.0026,0.0000
217,D4JRM9,Extracellular,0.0019,0.5200,0.3259,0.0031,0.1179,0.0312
218,A0A1Y4HHJ8,Periplasmic,0.0003,0.0442,0.0190,0.0006,0.0108,0.9249
219,A0A1X2YTB2,Extracellular,0.0362,0.9123,0.0013,0.0003,0.0469,0.0031
220,A0A374TUP2,Extracellular,0.0918,0.8618,0.0003,0.0215,0.0198,0.0049
221,A0A2A7B5B9,Cytoplasmic,0.0339,0.2880,0.5220,0.0294,0.0943,0.0324
222,R7LC48,Periplasmic,0.0004,0.0147,0.0193,0.0192,0.0495,0.8970
223,A0A3A9EXA4,Extracellular,0.0004,0.9995,0.0000,0.0000,0.0000,0.0000
224,V8CLS4,Cytoplasmic Membrane,0.0155,0.1844,0.0601,0.4236,0.2711,0.0453
225,H2PLE6,Cytoplasmic,0.0000,0.0038,0.9033,0.0816,0.0035,0.0078
226,A0A1H7W7K0,Extracellular,0.0003,0.9997,0.0000,0.0000,0.0000,0.0000
227,A0A3E5E7T3,Periplasmic,0.0004,0.0562,0.0012,0.0011,0.0428,0.8984
228,A0A1H3YY32,Extracellular,0.0018,0.5629,0.0258,0.0072,0.0208,0.3816
229,A0A2V2GKA8,Extracellular,0.0063,0.9899,0.0001,0.0005,0.0028,0.0005
230,A0A176U503,Cytoplasmic,0.0041,0.3831,0.5643,0.0042,0.0330,0.0113
231,A0A1E7RUX0,Extracellular,0.0613,0.4716,0.3452,0.0264,0.0321,0.0634
232,L1MPV8,Extracellular,0.0113,0.8418,0.0062,0.0009,0.0986,0.0412
233,R7LGU3,Extracellular,0.0002,0.9791,0.0007,0.0001,0.0103,0.0097
234,R7LC34,Periplasmic,0.0002,0.0390,0.0018,0.0771,0.0062,0.8757
235,W5IGR6,Extracellular,0.0090,0.9807,0.0000,0.0003,0.0085,0.0015
236,A0A255T1M0,Extracellular,0.0012,0.9205,0.0010,0.0005,0.0353,0.0416
237,A0A1Q6HBM2,Extracellular,0.0007,0.8192,0.0003,0.0000,0.0476,0.1321
238,A0A374W638,Extracellular,0.0627,0.8056,0.0046,0.0058,0.0839,0.0374
239,R6B6K3,Extracellular,0.0034,0.9949,0.0000,0.0000,0.0016,0.0000
240,A0A3B9IWH0,Extracellular,0.0015,0.9885,0.0000,0.0001,0.0067,0.0032
241,A0A316PQV4,Extracellular,0.0028,0.9944,0.0000,0.0001,0.0019,0.0009
242,A0A374W0J6,Extracellular,0.0013,0.9848,0.0002,0.0000,0.0113,0.0023
243,D4LDF6,Extracellular,0.0008,0.9969,0.0000,0.0000,0.0007,0.0016
244,J0DEX7,Extracellular,0.0062,0.9798,0.0001,0.0088,0.0024,0.0028
245,C0EFJ3,Extracellular,0.0577,0.9302,0.0011,0.0007,0.0057,0.0046
246,F9D3D6,Extracellular,0.0083,0.5186,0.0016,0.0018,0.3806,0.0891
247,A0A3E2UAM3,Cytoplasmic,0.0090,0.1171,0.5751,0.0353,0.1197,0.1438
248,W6S105,Extracellular,0.0005,0.9988,0.0000,0.0000,0.0004,0.0003
249,R5Z5U8,Extracellular,0.0001,0.9982,0.0000,0.0000,0.0001,0.0016
250,A0A2S4GQI6,Extracellular,0.0001,0.9999,0.0000,0.0000,0.0000,0.0000
251,R5VHJ2,Periplasmic,0.0001,0.0069,0.0061,0.0005,0.0244,0.9619
252,R6ZTV5,Periplasmic,0.0003,0.0194,0.0368,0.0014,0.0218,0.9203
253,A0A0B3VK92,Extracellular,0.0335,0.4543,0.3601,0.1441,0.0077,0.0002
254,A0A2N3PJW3,Outer Membrane,0.0010,0.0193,0.0199,0.3346,0.6076,0.0176
255,A0A1Q2LGR2,Extracellular,0.0024,0.3818,0.0062,0.0961,0.2344,0.2791
256,A0A1G9MC12,Extracellular,0.0014,0.9985,0.0000,0.0000,0.0000,0.0001
257,D1PX66,Periplasmic,0.0016,0.3373,0.0248,0.0066,0.0280,0.6017
258,K0X277,Outer Membrane,0.0035,0.2736,0.0098,0.0070,0.5196,0.1865
259,A0A0A7I576,Extracellular,0.0203,0.9774,0.0000,0.0003,0.0012,0.0007
260,R7LHB5,Periplasmic,0.0012,0.1416,0.0080,0.0023,0.0674,0.7796
261,A0A2L2WW97,Outer Membrane,0.0683,0.3519,0.0062,0.0234,0.5274,0.0228
262,A0A1Q9K2G4,Extracellular,0.0078,0.9917,0.0000,0.0001,0.0002,0.0001
263,R7H3S1,Extracellular,0.0004,0.9895,0.0015,0.0079,0.0002,0.0005
264,A0A087BZI4,Extracellular,0.0004,0.9991,0.0000,0.0000,0.0003,0.0003
265,A0A3D2CMB1,Extracellular,0.0003,0.9996,0.0000,0.0000,0.0002,0.0000
266,L1PHY8,Extracellular,0.0208,0.9614,0.0012,0.0042,0.0071,0.0053
267,A0A374TUA2,Extracellular,0.0096,0.9316,0.0001,0.0002,0.0487,0.0098
268,F7LW98,Extracellular,0.0030,0.9484,0.0096,0.0017,0.0326,0.0046
269,A0A1Q6H2L9,Extracellular,0.0364,0.7436,0.0775,0.0151,0.0759,0.0517
270,A0A379LLL5,Extracellular,0.0002,0.9920,0.0000,0.0000,0.0029,0.0048
271,A0A0J6EXZ4,Extracellular,0.0002,0.9997,0.0000,0.0000,0.0000,0.0000
272,C5RD38,Extracellular,0.0008,0.9989,0.0000,0.0001,0.0001,0.0001
273,A0A374UND8,Extracellular,0.0008,0.9973,0.0000,0.0001,0.0017,0.0001
274,A0A126STL6,Extracellular,0.0023,0.9973,0.0000,0.0000,0.0002,0.0002
275,U1SHS9,Extracellular,0.0031,0.9966,0.0000,0.0001,0.0003,0.0000
276,R7H889,Extracellular,0.0066,0.9843,0.0000,0.0001,0.0079,0.0011
277,R7AVY1,Periplasmic,0.0002,0.0106,0.0079,0.0004,0.0293,0.9516
278,A0A1Q6SJM3,Extracellular,0.0001,0.9965,0.0000,0.0000,0.0024,0.0009
279,A0A374BI08,Extracellular,0.0002,0.9993,0.0000,0.0000,0.0005,0.0001
280,A0A358WH05,Extracellular,0.0025,0.7219,0.1724,0.0017,0.0638,0.0378
281,A0A1C6H4P2,Extracellular,0.0001,0.9958,0.0000,0.0000,0.0001,0.0040
282,A0A1K2AC40,Extracellular,0.0035,0.9903,0.0000,0.0000,0.0060,0.0002
283,G5SLI5,Extracellular,0.0129,0.8512,0.0585,0.0015,0.0123,0.0636
284,A0A374RVW5,Extracellular,0.0029,0.9955,0.0000,0.0001,0.0013,0.0001
285,R5LBA9,Extracellular,0.0002,0.9989,0.0000,0.0000,0.0009,0.0000
286,A0A091C8J5,Extracellular,0.0008,0.9991,0.0000,0.0000,0.0000,0.0001
287,R7C8A6,Extracellular,0.0023,0.9902,0.0000,0.0003,0.0018,0.0053
288,U5MM60,Extracellular,0.0000,0.9997,0.0000,0.0000,0.0002,0.0001
289,I9S8U7,Extracellular,0.0056,0.7004,0.0072,0.0010,0.1764,0.1093
290,A0A316RZR5,Extracellular,0.0002,0.9992,0.0000,0.0000,0.0004,0.0002
291,A0A1I7H2V5,Extracellular,0.0001,0.9993,0.0000,0.0000,0.0001,0.0005
292,W2VHH0,Extracellular,0.0024,0.9972,0.0000,0.0000,0.0002,0.0002
